x,y,z,Class,type,className,color
-4.3945165,5.1165695,-11.503674,0,train,Chinese,#F24443
-6.308175,5.1389527,8.159096,0,train,Chinese,#F24443
-6.4660597,10.453966,-20.006392,0,train,Chinese,#F24443
-8.407899,2.4139504,-2.4934099,0,train,Chinese,#F24443
-2.1571007,0.7779053,-6.6243734,0,train,Chinese,#F24443
-22.691175,-0.18030386,-12.513524,0,train,Chinese,#F24443
0.77306676,-7.8588395,4.042678,0,train,Chinese,#F24443
-9.084265,5.35041,15.599247,0,train,Chinese,#F24443
-16.286118,2.0774477,-3.32399,0,train,Chinese,#F24443
-5.1270447,4.2823257,-17.92867,0,train,Chinese,#F24443
-9.724801,-17.862698,8.307411,0,train,Chinese,#F24443
-10.213906,2.632658,-7.5559974,0,train,Chinese,#F24443
4.600995,-22.245022,-5.6497445,0,train,Chinese,#F24443
7.5103307,-2.4776566,-2.802473,0,train,Chinese,#F24443
-15.046972,7.168358,-7.0592384,0,train,Chinese,#F24443
-7.888106,-17.279375,7.803731,0,train,Chinese,#F24443
-5.7640653,0.9221905,-27.72989,0,train,Chinese,#F24443
-7.168794,-0.7545571,-15.654693,0,train,Chinese,#F24443
-13.336451,16.608974,-9.64492,0,train,Chinese,#F24443
11.738569,-9.279307,0.35954586,0,train,Chinese,#F24443
-17.648151,-0.213073,-15.821113,0,train,Chinese,#F24443
-16.051746,-14.722704,-4.77081,0,train,Chinese,#F24443
-20.17517,-0.6053204,-12.283529,0,train,Chinese,#F24443
-14.936823,14.063848,-10.561654,0,train,Chinese,#F24443
-15.627792,1.797315,-12.3754225,0,train,Chinese,#F24443
-4.099558,9.855825,20.613743,0,train,Chinese,#F24443
-9.170069,16.783823,-10.724392,0,train,Chinese,#F24443
-18.937126,10.070446,-6.257903,0,train,Chinese,#F24443
-21.769308,-1.2569135,-13.943526,0,train,Chinese,#F24443
14.779622,-6.460181,5.5990944,0,train,Chinese,#F24443
-18.857695,5.38842,-3.0253775,0,train,Chinese,#F24443
-11.008767,3.862722,-24.138954,0,train,Chinese,#F24443
-6.258689,-0.21430181,-7.7955637,0,train,Chinese,#F24443
-14.485379,0.6833686,-8.230192,0,train,Chinese,#F24443
0.42338696,-21.925224,-11.26376,0,train,Chinese,#F24443
-2.3842518,11.58948,13.18287,0,train,Chinese,#F24443
-15.872896,3.8551044,-27.964163,0,train,Chinese,#F24443
-4.549564,-0.10808149,-5.894218,0,train,Chinese,#F24443
-15.653671,-8.558147,-8.452192,0,train,Chinese,#F24443
-6.040867,19.00807,10.23146,0,train,Chinese,#F24443
-4.2019234,2.0521472,-7.332684,0,train,Chinese,#F24443
-10.278615,6.891171,-13.018665,0,train,Chinese,#F24443
-14.636428,3.260806,-8.895436,0,train,Chinese,#F24443
18.321474,-13.87953,4.430726,0,train,Chinese,#F24443
8.164788,-4.1923194,-16.43394,0,train,Chinese,#F24443
-15.342585,3.4059038,8.397036,0,train,Chinese,#F24443
-15.806504,1.8111604,-11.692908,0,train,Chinese,#F24443
-12.243264,-3.3863041,-8.782766,0,train,Chinese,#F24443
-5.5701065,3.0783093,-15.707251,0,train,Chinese,#F24443
-14.654459,1.3102921,18.7156,0,train,Chinese,#F24443
-5.6878834,3.9579358,-1.2509604,0,train,Chinese,#F24443
-14.780132,12.274496,-9.892552,0,train,Chinese,#F24443
7.3719535,13.45671,-1.489167,0,train,Chinese,#F24443
-9.14841,18.444256,1.1704532,0,train,Chinese,#F24443
-6.504279,5.3006115,-17.38264,0,train,Chinese,#F24443
-18.234983,15.488726,-10.531101,0,train,Chinese,#F24443
5.273855,-2.3200834,-4.3890157,0,train,Chinese,#F24443
2.8712852,1.4667828,-28.747725,0,train,Chinese,#F24443
-14.665098,12.33202,-8.056321,0,train,Chinese,#F24443
-18.464497,0.9483479,-6.187096,0,train,Chinese,#F24443
-12.655404,12.211106,-11.813266,0,train,Chinese,#F24443
-8.72885,2.9499316,-7.144166,0,train,Chinese,#F24443
-21.473368,-4.7526994,-14.675644,0,train,Chinese,#F24443
-3.1916893,10.609726,-13.810909,0,train,Chinese,#F24443
-18.670723,1.385604,-8.434264,0,train,Chinese,#F24443
-13.032576,-7.5105386,-11.405699,0,train,Chinese,#F24443
-8.066036,16.373405,3.2910964,0,train,Chinese,#F24443
-10.73691,8.369822,-22.828373,0,train,Chinese,#F24443
-13.478535,-8.696216,0.41666892,0,train,Chinese,#F24443
-11.846412,-5.3020787,-7.385251,0,train,Chinese,#F24443
-4.313248,3.9450037,-19.025536,0,train,Chinese,#F24443
-5.866334,-1.0054537,-14.886199,0,train,Chinese,#F24443
-15.434866,10.271406,-6.091942,0,train,Chinese,#F24443
-17.419031,-15.622132,-6.5057707,0,train,Chinese,#F24443
-17.485321,9.645615,-4.2193155,0,train,Chinese,#F24443
-13.257655,-6.384589,-8.716815,0,train,Chinese,#F24443
-5.5449347,-21.192165,2.160403,0,train,Chinese,#F24443
8.303359,-10.34907,-4.788289,0,train,Chinese,#F24443
-16.35339,-5.9168134,-8.23082,0,train,Chinese,#F24443
-4.1910563,-7.8211613,-27.173443,0,train,Chinese,#F24443
5.678292,0.89254737,5.93435,0,train,Chinese,#F24443
-7.362387,2.4919176,-10.728118,0,train,Chinese,#F24443
-11.63198,17.478462,-9.271993,0,train,Chinese,#F24443
-12.213425,13.664006,-17.002256,0,train,Chinese,#F24443
-2.7726185,4.779567,-21.462957,0,train,Chinese,#F24443
-12.661649,-10.083143,-9.57502,0,train,Chinese,#F24443
-22.490465,-0.6680055,-12.794825,0,train,Chinese,#F24443
-23.279016,-3.4206045,0.9076026,0,train,Chinese,#F24443
-10.732098,-18.488295,7.6431456,0,train,Chinese,#F24443
-7.075837,9.683338,-13.655389,0,train,Chinese,#F24443
-2.2567809,0.4302608,-25.852127,0,train,Chinese,#F24443
4.505139,-11.619427,26.708044,0,train,Chinese,#F24443
-5.406024,4.469555,-13.084257,0,train,Chinese,#F24443
0.9191787,2.020509,-27.766617,0,train,Chinese,#F24443
-12.185912,-2.997306,-9.982228,0,train,Chinese,#F24443
-15.640188,7.3878393,17.275011,0,train,Chinese,#F24443
-2.2636242,-0.43691298,-5.0981555,0,train,Chinese,#F24443
-2.6394737,-11.794236,-20.748068,0,train,Chinese,#F24443
-10.04511,-0.71567637,-13.802284,0,train,Chinese,#F24443
-1.7524737,0.89566237,-25.478832,0,train,Chinese,#F24443
2.3417664,5.272388,-6.4228663,0,train,Chinese,#F24443
-16.391811,3.558557,-1.9534043,0,train,Chinese,#F24443
1.0856992,-16.858538,-1.5620173,0,train,Chinese,#F24443
-1.1844866,7.2528553,-24.698538,0,train,Chinese,#F24443
-11.193573,-2.9230845,-25.779852,0,train,Chinese,#F24443
-11.08154,-6.1405244,0.5708739,0,train,Chinese,#F24443
-3.271844,11.4791765,-14.184755,0,train,Chinese,#F24443
-17.07508,2.960326,-11.763144,0,train,Chinese,#F24443
-14.305586,-1.7460308,-1.8462396,0,train,Chinese,#F24443
-19.723873,11.297938,-8.209586,0,train,Chinese,#F24443
10.445268,-2.6387844,-16.127737,0,train,Chinese,#F24443
-13.399369,-5.5850267,-9.273233,0,train,Chinese,#F24443
-20.271563,0.021447906,-8.778843,0,train,Chinese,#F24443
-13.15204,16.437483,-9.71983,0,train,Chinese,#F24443
16.03755,11.5997505,-12.521121,0,train,Chinese,#F24443
-10.367005,7.3837833,-11.856116,0,train,Chinese,#F24443
-19.590157,0.6131928,-17.114786,0,train,Chinese,#F24443
-12.916102,18.144773,1.2929434,0,train,Chinese,#F24443
-12.514655,-7.403491,9.1637,0,train,Chinese,#F24443
-16.191032,-3.2229905,-1.8897364,0,train,Chinese,#F24443
1.1371768,13.990252,5.471153,0,train,Chinese,#F24443
-4.090587,4.866838,-25.879395,0,train,Chinese,#F24443
1.2610184,-18.206743,19.16006,0,train,Chinese,#F24443
-9.962502,-7.7316985,0.8016647,0,train,Chinese,#F24443
4.7652507,-3.0366871,-17.647923,0,train,Chinese,#F24443
-15.695432,-1.9524728,-0.82873446,0,train,Chinese,#F24443
-2.079969,2.4911993,-6.618383,0,train,Chinese,#F24443
-4.272706,-0.0478741,-12.205449,0,train,Chinese,#F24443
-7.789711,-1.0172445,-19.76581,0,train,Chinese,#F24443
14.538738,-6.314775,4.9118032,0,train,Chinese,#F24443
-16.771738,2.4867797,-16.575207,0,train,Chinese,#F24443
-11.205877,9.314187,-18.640213,0,train,Chinese,#F24443
-12.029782,4.8475223,-17.23555,0,train,Chinese,#F24443
-13.13447,12.519233,-9.466123,0,train,Chinese,#F24443
-16.737858,5.10519,-25.620731,0,train,Chinese,#F24443
-14.149716,-9.796272,3.169057,0,train,Chinese,#F24443
-8.685019,6.8522105,-22.849266,0,train,Chinese,#F24443
-12.255273,15.772545,-10.360132,0,train,Chinese,#F24443
9.65989,1.2893909,-3.3326254,0,train,Chinese,#F24443
-17.66931,-0.49012828,-15.979187,0,train,Chinese,#F24443
-12.828776,0.71815485,-12.4934,0,train,Chinese,#F24443
14.402942,-4.393934,-3.7379434,0,train,Chinese,#F24443
-1.955858,2.558919,-21.57836,0,train,Chinese,#F24443
-16.611683,-1.401556,-14.8612385,0,train,Chinese,#F24443
-4.737326,-10.060839,-3.7889874,0,train,Chinese,#F24443
-17.164244,6.316091,-23.107231,0,train,Chinese,#F24443
-17.806192,0.42891282,-15.5206375,0,train,Chinese,#F24443
1.1038723,-17.420038,19.442183,0,train,Chinese,#F24443
-13.260455,-7.920914,-8.535459,0,train,Chinese,#F24443
-9.946123,-3.7044933,-23.722971,0,train,Chinese,#F24443
-7.0336947,0.5456503,-9.450769,0,train,Chinese,#F24443
-10.450677,7.050961,-25.325829,0,train,Chinese,#F24443
13.690303,13.102352,-13.985838,0,train,Chinese,#F24443
3.0238442,5.1314697,-18.983385,0,train,Chinese,#F24443
-4.149318,10.152331,14.159399,0,train,Chinese,#F24443
-9.53454,-0.7576078,-22.461115,0,train,Chinese,#F24443
13.374274,-2.4926121,-9.375827,0,train,Chinese,#F24443
-17.898289,-2.215554,-3.7273588,0,train,Chinese,#F24443
-9.55149,-17.09666,7.080446,0,train,Chinese,#F24443
17.364395,1.8872375,-4.7808776,0,train,Chinese,#F24443
-11.702832,14.384877,-17.906975,0,train,Chinese,#F24443
-6.146764,3.1192403,-20.46425,0,train,Chinese,#F24443
5.763677,-7.5790467,-17.437689,0,train,Chinese,#F24443
-11.583749,-14.394558,-0.2628953,0,train,Chinese,#F24443
-16.481157,8.641588,2.9168525,0,train,Chinese,#F24443
-0.41831228,1.3377755,-25.088768,0,train,Chinese,#F24443
-6.463276,1.1579378,-15.246798,0,train,Chinese,#F24443
-0.9833499,-1.0835874,-20.86732,0,train,Chinese,#F24443
-7.806824,8.453412,-20.98721,0,train,Chinese,#F24443
-11.537194,-2.825376,-7.852088,0,train,Chinese,#F24443
3.4144208,-8.580062,9.198626,0,train,Chinese,#F24443
-10.477627,3.3001065,-9.837126,0,train,Chinese,#F24443
-7.175541,9.102109,-17.99514,0,train,Chinese,#F24443
2.039567,-8.892166,5.5217047,0,train,Chinese,#F24443
-13.681725,-9.505688,-0.657217,0,train,Chinese,#F24443
-18.18697,15.511569,-10.55531,0,train,Chinese,#F24443
-3.5852785,-13.420792,-5.9445033,0,train,Chinese,#F24443
-12.123576,-2.8109457,-26.23234,0,train,Chinese,#F24443
-17.135677,-1.2008023,-16.248512,0,train,Chinese,#F24443
-2.0253313,6.8154664,-21.508957,0,train,Chinese,#F24443
-12.738629,-6.18277,11.945295,0,train,Chinese,#F24443
-8.715756,4.028311,-11.854391,0,train,Chinese,#F24443
-14.987821,14.045744,-10.724637,0,train,Chinese,#F24443
-12.04926,16.705305,10.375847,0,train,Chinese,#F24443
-14.576915,-9.455848,-2.1543899,0,train,Chinese,#F24443
-9.255813,0.20663473,-19.392477,0,train,Chinese,#F24443
-10.781348,2.6982849,-6.8108883,0,train,Chinese,#F24443
6.252966,-2.439983,-14.534411,0,train,Chinese,#F24443
-10.572771,15.70501,-14.354114,0,train,Chinese,#F24443
-7.910911,10.807515,-21.888475,0,train,Chinese,#F24443
-14.105779,2.4332247,18.318363,0,train,Chinese,#F24443
18.162277,-14.482056,-3.2065203,0,train,Chinese,#F24443
-9.135208,5.0853457,-22.153997,0,train,Chinese,#F24443
-11.058342,16.098682,-14.049027,0,train,Chinese,#F24443
-5.546755,4.5743294,-5.941475,0,train,Chinese,#F24443
-12.879113,16.570425,-9.721237,0,train,Chinese,#F24443
-20.983046,4.262712,6.4482613,0,train,Chinese,#F24443
-12.145997,-7.19725,9.159128,0,train,Chinese,#F24443
-7.621552,8.13591,-15.7187,0,train,Chinese,#F24443
-17.742624,15.114195,6.474234,0,train,Chinese,#F24443
-16.097507,6.5500765,-11.672166,0,train,Chinese,#F24443
13.594294,13.944531,-14.381982,0,train,Chinese,#F24443
-14.349922,15.376836,-9.198244,0,train,Chinese,#F24443
6.409499,-1.6160928,-4.718146,0,train,Chinese,#F24443
4.9020023,8.399783,-18.07533,0,train,Chinese,#F24443
0.27067453,11.689832,6.9276476,0,train,Chinese,#F24443
-17.251286,-0.47986957,-5.149981,0,train,Chinese,#F24443
-0.0027559039,-6.5083995,-21.656487,0,train,Chinese,#F24443
-7.0844984,-9.0568285,-1.623985,0,train,Chinese,#F24443
-11.921174,-5.3118367,-7.1018543,0,train,Chinese,#F24443
13.779009,13.221001,-14.008336,0,train,Chinese,#F24443
-15.835103,-0.92433846,-18.86323,0,train,Chinese,#F24443
-10.125196,-4.756873,-8.599077,0,train,Chinese,#F24443
-4.2073994,-22.36989,9.902573,0,train,Chinese,#F24443
-18.491255,-0.24137941,-16.699463,0,train,Chinese,#F24443
-22.561434,2.3263373,-13.735926,0,train,Chinese,#F24443
-14.107843,7.4122214,-13.579978,0,train,Chinese,#F24443
-3.99296,0.015574601,-22.148287,0,train,Chinese,#F24443
-16.182713,-10.433929,5.3502445,0,train,Chinese,#F24443
-8.902451,1.1793966,-20.79082,0,train,Chinese,#F24443
-3.5515308,-9.517663,-12.856583,0,train,Chinese,#F24443
-19.809711,9.035829,-8.296594,0,train,Chinese,#F24443
-15.5404,1.0566317,-7.0512333,0,train,Chinese,#F24443
-3.082474,4.174164,-20.231058,0,train,Chinese,#F24443
-4.6634936,4.562064,-18.527678,0,train,Chinese,#F24443
-13.89281,13.640688,12.686305,0,train,Chinese,#F24443
-6.663114,9.124247,-23.771742,0,train,Chinese,#F24443
-6.2564106,3.2488384,-17.856829,0,train,Chinese,#F24443
-10.759926,-5.099158,-3.8589854,0,train,Chinese,#F24443
-2.0167487,3.3388386,-0.1215885,0,train,Chinese,#F24443
-13.314978,-11.420988,4.7698145,0,train,Chinese,#F24443
-18.911299,9.852249,-0.9566951,0,train,Chinese,#F24443
-3.9951432,10.295926,-9.578659,0,train,Chinese,#F24443
0.87307644,-6.2716107,-12.400242,0,train,Chinese,#F24443
-14.3822775,11.9306,9.33645,0,train,Chinese,#F24443
-11.858841,-16.37298,6.662453,0,train,Chinese,#F24443
-11.537185,8.112871,-22.416721,0,train,Chinese,#F24443
-21.147728,8.5073185,5.2787943,0,train,Chinese,#F24443
-9.439261,8.125624,-10.332375,0,train,Chinese,#F24443
-3.7445288,-4.2005944,-18.098396,0,train,Chinese,#F24443
-8.581157,19.262962,-11.055159,0,train,Chinese,#F24443
2.5370502,-1.9171098,-4.6177216,0,train,Chinese,#F24443
-7.114901,-7.368998,-7.0475597,0,train,Chinese,#F24443
-6.1823616,6.5201206,-22.391762,0,train,Chinese,#F24443
-11.767383,-9.0418215,-0.7143093,0,train,Chinese,#F24443
-8.447832,-17.147099,7.2148957,0,train,Chinese,#F24443
-8.698658,-0.05947438,-26.125454,0,train,Chinese,#F24443
-18.999523,4.029123,-7.281312,0,train,Chinese,#F24443
-15.346713,15.6283865,-10.201232,0,train,Chinese,#F24443
-10.758308,-2.4132893,-27.579855,0,train,Chinese,#F24443
7.3163915,-4.6717186,-4.920338,0,train,Chinese,#F24443
-16.433834,0.7575261,-4.524281,0,train,Chinese,#F24443
-14.873381,1.0446842,-26.631294,0,train,Chinese,#F24443
-4.9308996,-1.6683615,-20.771246,0,train,Chinese,#F24443
-12.247218,-10.728427,-0.12281871,0,train,Chinese,#F24443
15.877075,12.18923,-12.981034,0,train,Chinese,#F24443
-17.783878,15.112068,6.4312587,0,train,Chinese,#F24443
-0.12342982,2.632354,-21.881638,0,train,Chinese,#F24443
-4.7925425,-7.2942605,-15.648545,0,train,Chinese,#F24443
2.6386528,-16.558546,-7.4575033,0,train,Chinese,#F24443
-7.665007,6.4031744,-11.477175,0,train,Chinese,#F24443
-15.909831,12.031733,-4.277387,0,train,Chinese,#F24443
-19.056982,-5.393993,12.356288,0,train,Chinese,#F24443
6.0449905,-2.3106372,-4.4814186,0,train,Chinese,#F24443
-20.25231,1.5260124,-11.977591,0,train,Chinese,#F24443
5.330383,-10.008731,-14.964468,0,train,Chinese,#F24443
-20.363506,2.7307425,-13.324499,0,train,Chinese,#F24443
-13.82054,6.9818325,4.9585414,0,train,Chinese,#F24443
-4.014177,12.230858,-20.82207,0,train,Chinese,#F24443
-15.11088,-6.759067,3.3782248,0,train,Chinese,#F24443
-15.5948715,-0.44209385,-11.906669,0,train,Chinese,#F24443
-5.302355,-4.2337914,-15.021507,0,train,Chinese,#F24443
-7.365745,4.1366158,-13.613411,0,train,Chinese,#F24443
-8.107664,-0.8392185,-23.95765,0,train,Chinese,#F24443
0.110930994,-23.393007,-11.116794,0,train,Chinese,#F24443
-7.809226,1.5640928,-1.9247464,0,train,Chinese,#F24443
-8.607432,8.789937,-22.37038,0,train,Chinese,#F24443
-13.146384,-3.9416776,-3.6050322,0,train,Chinese,#F24443
-14.075826,-10.100199,3.5294034,0,train,Chinese,#F24443
-14.801733,-6.2186894,-8.010935,0,train,Chinese,#F24443
-10.019139,0.5177109,-14.3237915,0,train,Chinese,#F24443
-21.064203,-1.4423507,-14.080286,0,train,Chinese,#F24443
-2.0189543,7.6869993,-19.77068,0,train,Chinese,#F24443
-18.653204,8.530612,2.7286422,0,train,Chinese,#F24443
-8.147062,0.79619026,-1.7065406,0,train,Chinese,#F24443
-16.500639,8.651478,2.9304714,0,train,Chinese,#F24443
-15.414911,10.233725,-6.763582,0,train,Chinese,#F24443
-19.865288,-3.733792,-5.2503953,0,train,Chinese,#F24443
10.576436,-22.608456,3.6678026,0,train,Chinese,#F24443
-15.547261,14.641088,6.3819304,0,train,Chinese,#F24443
-13.097163,-8.160066,3.7904673,0,train,Chinese,#F24443
10.601943,-22.533272,3.6394167,0,train,Chinese,#F24443
-3.3066864,10.325171,-16.388111,0,train,Chinese,#F24443
-15.646243,-16.67206,-3.6333885,0,train,Chinese,#F24443
-2.3567123,3.4582727,-17.915642,0,train,Chinese,#F24443
-10.27163,8.92892,-10.368819,0,train,Chinese,#F24443
-14.731131,-7.519875,3.2462783,0,train,Chinese,#F24443
-16.619553,10.75958,-12.475295,0,train,Chinese,#F24443
-20.219872,7.9472,2.7010088,0,train,Chinese,#F24443
4.0490727,6.7762017,-21.065722,0,train,Chinese,#F24443
-18.590998,0.85345036,-13.967362,0,train,Chinese,#F24443
3.5338557,5.2022867,-20.13479,0,train,Chinese,#F24443
-13.259355,14.114245,9.712934,0,train,Chinese,#F24443
-13.464765,5.4062934,-18.728834,0,train,Chinese,#F24443
-6.5797567,4.9649687,-18.422693,0,train,Chinese,#F24443
13.65345,16.56587,7.36103,0,train,Chinese,#F24443
-7.422302,-9.958379,10.831201,0,train,Chinese,#F24443
0.18360668,9.240618,-10.959748,0,train,Chinese,#F24443
-2.6591663,1.2064712,-15.61561,0,train,Chinese,#F24443
-16.346254,-1.0236237,-9.492116,0,train,Chinese,#F24443
-13.285692,-7.2242823,10.803618,0,train,Chinese,#F24443
-1.829421,3.996765,-25.422617,0,train,Chinese,#F24443
-4.246888,-1.3921397,-21.075214,0,train,Chinese,#F24443
